Filename	Sublocation	Perturbation
bin5particle302.bmp	0	FLIP_TOP_BOTTOM
bin5particle209.bmp	1	ROTATE_270
bin5BADparticle21.bmp	2	None
bin5BADparticle26.bmp	3	ROTATE_180
bin5particle264.bmp	4	None
bin5BADparticle38.bmp	5	None
bin5particle444.bmp	6	ROTATE_90
bin5BADparticle43.bmp	7	FLIP_TOP_BOTTOM
bin5BADparticle97.bmp	8	FLIP_LEFT_RIGHT
bin5BADparticle24.bmp	9	ROTATE_90
bin5BADparticle76.bmp	10	None
bin5particle135.bmp	11	ROTATE_90
bin5BADparticle51.bmp	12	None
bin5BADparticle40.bmp	13	FLIP_LEFT_RIGHT
bin5particle178.bmp	14	None
bin5BADparticle18.bmp	15	FLIP_LEFT_RIGHT
bin5BADparticle79.bmp	16	None
bin5BADparticle56.bmp	17	None
bin5particle354.bmp	18	None
bin5particle327.bmp	19	None
bin5BADparticle27.bmp	20	ROTATE_90
bin5particle238.bmp	21	FLIP_LEFT_RIGHT
bin5BADparticle80.bmp	22	ROTATE_270
bin5BADparticle65.bmp	23	ROTATE_90
bin5BADparticle96.bmp	24	None
bin5BADparticle10.bmp	25	ROTATE_90
bin5particle230.bmp	26	FLIP_LEFT_RIGHT
bin5particle163.bmp	27	None
bin5particle10.bmp	28	None
bin5particle77.bmp	29	FLIP_TOP_BOTTOM
bin5BADparticle30.bmp	30	None
bin5BADparticle84.bmp	31	ROTATE_90
bin5BADparticle83.bmp	32	None
bin5BADparticle1.bmp	33	FLIP_LEFT_RIGHT
bin5BADparticle42.bmp	34	ROTATE_90
bin5particle251.bmp	35	None
bin5particle317.bmp	36	ROTATE_270
bin5particle29.bmp	37	FLIP_TOP_BOTTOM
bin5particle37.bmp	38	FLIP_TOP_BOTTOM
bin5particle141.bmp	39	FLIP_LEFT_RIGHT
bin5BADparticle95.bmp	40	ROTATE_180
bin5BADparticle16.bmp	41	None
bin5BADparticle98.bmp	42	ROTATE_90
bin5BADparticle73.bmp	43	FLIP_LEFT_RIGHT
bin5BADparticle6.bmp	44	ROTATE_270
bin5BADparticle29.bmp	45	None
bin5particle51.bmp	46	FLIP_TOP_BOTTOM
bin5BADparticle35.bmp	47	ROTATE_180
bin5BADparticle9.bmp	48	FLIP_LEFT_RIGHT
bin5BADparticle57.bmp	49	ROTATE_90
bin5BADparticle39.bmp	50	FLIP_LEFT_RIGHT
bin5particle142.bmp	51	None
bin5particle102.bmp	52	None
bin5BADparticle20.bmp	53	None
bin5particle277.bmp	54	FLIP_LEFT_RIGHT
bin5particle119.bmp	55	ROTATE_180
bin5BADparticle62.bmp	56	ROTATE_90
bin5BADparticle22.bmp	57	None
bin5particle295.bmp	58	ROTATE_180
bin5BADparticle92.bmp	59	ROTATE_270
bin5BADparticle33.bmp	60	ROTATE_270
bin5particle36.bmp	61	FLIP_LEFT_RIGHT
bin5BADparticle48.bmp	62	ROTATE_90
bin5BADparticle70.bmp	63	ROTATE_270
bin5particle283.bmp	64	FLIP_TOP_BOTTOM
bin5particle293.bmp	65	ROTATE_180
bin5BADparticle86.bmp	66	ROTATE_180
bin5particle265.bmp	67	None
bin5BADparticle28.bmp	68	FLIP_LEFT_RIGHT
bin5particle206.bmp	69	None
bin5BADparticle82.bmp	70	FLIP_LEFT_RIGHT
bin5particle352.bmp	71	None
bin5particle437.bmp	72	None
bin5BADparticle59.bmp	73	None
bin5BADparticle8.bmp	74	ROTATE_270
bin5particle356.bmp	75	ROTATE_90
bin5BADparticle47.bmp	76	FLIP_LEFT_RIGHT
bin5particle379.bmp	77	FLIP_LEFT_RIGHT
bin5BADparticle85.bmp	78	None
bin5BADparticle58.bmp	79	None
bin5particle24.bmp	80	FLIP_LEFT_RIGHT
bin5particle272.bmp	81	FLIP_TOP_BOTTOM
bin5particle137.bmp	82	None
bin5particle194.bmp	83	None
bin5particle87.bmp	84	ROTATE_180
bin5particle431.bmp	85	None
bin5particle246.bmp	86	ROTATE_270
bin5particle294.bmp	87	None
bin5BADparticle90.bmp	88	FLIP_LEFT_RIGHT
bin5BADparticle63.bmp	89	None
bin5BADparticle77.bmp	90	FLIP_LEFT_RIGHT
bin5particle197.bmp	91	FLIP_LEFT_RIGHT
bin5BADparticle99.bmp	92	FLIP_TOP_BOTTOM
bin5particle28.bmp	93	ROTATE_90
bin5particle412.bmp	94	None
bin5BADparticle31.bmp	95	FLIP_TOP_BOTTOM
bin5BADparticle49.bmp	96	FLIP_TOP_BOTTOM
bin5particle257.bmp	97	None
bin5BADparticle3.bmp	98	None
bin5particle255.bmp	99	FLIP_LEFT_RIGHT
46	54
