Filename	Sublocation	Perturbation
bin5BADparticle20.bmp	0	None
bin5BADparticle73.bmp	1	None
bin5particle384.bmp	2	FLIP_TOP_BOTTOM
bin5BADparticle58.bmp	3	ROTATE_180
bin5particle209.bmp	4	FLIP_TOP_BOTTOM
bin5BADparticle77.bmp	5	ROTATE_90
bin5particle200.bmp	6	FLIP_LEFT_RIGHT
bin5particle216.bmp	7	ROTATE_270
bin5BADparticle90.bmp	8	None
bin5particle431.bmp	9	ROTATE_270
bin5particle102.bmp	10	None
bin5particle375.bmp	11	FLIP_TOP_BOTTOM
bin5BADparticle39.bmp	12	ROTATE_270
bin5particle264.bmp	13	None
bin5BADparticle48.bmp	14	FLIP_TOP_BOTTOM
bin5BADparticle38.bmp	15	FLIP_TOP_BOTTOM
bin5particle295.bmp	16	None
bin5BADparticle79.bmp	17	FLIP_TOP_BOTTOM
bin5BADparticle49.bmp	18	FLIP_TOP_BOTTOM
bin5BADparticle18.bmp	19	ROTATE_180
bin5BADparticle3.bmp	20	ROTATE_90
bin5BADparticle56.bmp	21	ROTATE_180
bin5particle428.bmp	22	FLIP_LEFT_RIGHT
bin5BADparticle70.bmp	23	None
bin5BADparticle98.bmp	24	FLIP_LEFT_RIGHT
bin5particle135.bmp	25	ROTATE_180
bin5particle28.bmp	26	FLIP_TOP_BOTTOM
bin5BADparticle57.bmp	27	ROTATE_270
bin5particle137.bmp	28	None
bin5BADparticle59.bmp	29	ROTATE_90
bin5BADparticle43.bmp	30	FLIP_LEFT_RIGHT
bin5BADparticle87.bmp	31	ROTATE_90
bin5particle198.bmp	32	ROTATE_270
bin5particle195.bmp	33	FLIP_TOP_BOTTOM
bin5BADparticle9.bmp	34	FLIP_LEFT_RIGHT
bin5particle402.bmp	35	None
bin5particle382.bmp	36	ROTATE_90
bin5BADparticle84.bmp	37	None
bin5particle37.bmp	38	None
bin5BADparticle95.bmp	39	FLIP_LEFT_RIGHT
bin5BADparticle42.bmp	40	ROTATE_270
bin5BADparticle86.bmp	41	FLIP_LEFT_RIGHT
bin5particle278.bmp	42	FLIP_LEFT_RIGHT
bin5particle312.bmp	43	None
bin5particle24.bmp	44	None
bin5particle74.bmp	45	ROTATE_270
bin5BADparticle33.bmp	46	FLIP_LEFT_RIGHT
bin5BADparticle97.bmp	47	None
bin5BADparticle99.bmp	48	FLIP_LEFT_RIGHT
bin5BADparticle21.bmp	49	FLIP_TOP_BOTTOM
bin5particle327.bmp	50	None
bin5particle66.bmp	51	ROTATE_180
bin5particle317.bmp	52	FLIP_LEFT_RIGHT
bin5BADparticle96.bmp	53	FLIP_LEFT_RIGHT
bin5particle271.bmp	54	FLIP_LEFT_RIGHT
bin5particle352.bmp	55	ROTATE_180
bin5particle363.bmp	56	FLIP_TOP_BOTTOM
bin5particle18.bmp	57	None
bin5BADparticle29.bmp	58	FLIP_LEFT_RIGHT
bin5particle287.bmp	59	ROTATE_90
bin5particle267.bmp	60	FLIP_LEFT_RIGHT
bin5BADparticle83.bmp	61	FLIP_LEFT_RIGHT
bin5particle142.bmp	62	None
bin5BADparticle24.bmp	63	None
bin5particle283.bmp	64	FLIP_LEFT_RIGHT
bin5particle204.bmp	65	ROTATE_180
bin5BADparticle47.bmp	66	None
bin5particle77.bmp	67	ROTATE_270
bin5BADparticle6.bmp	68	ROTATE_180
bin5particle354.bmp	69	ROTATE_270
bin5particle437.bmp	70	None
bin5BADparticle63.bmp	71	None
bin5particle206.bmp	72	None
bin5BADparticle16.bmp	73	ROTATE_180
bin5particle246.bmp	74	ROTATE_180
bin5BADparticle27.bmp	75	None
bin5particle277.bmp	76	FLIP_LEFT_RIGHT
bin5BADparticle62.bmp	77	FLIP_LEFT_RIGHT
bin5particle93.bmp	78	ROTATE_90
bin5particle425.bmp	79	FLIP_LEFT_RIGHT
bin5particle281.bmp	80	FLIP_TOP_BOTTOM
bin5BADparticle51.bmp	81	FLIP_TOP_BOTTOM
bin5BADparticle40.bmp	82	FLIP_LEFT_RIGHT
bin5BADparticle10.bmp	83	FLIP_LEFT_RIGHT
bin5BADparticle76.bmp	84	None
bin5particle46.bmp	85	None
bin5BADparticle35.bmp	86	FLIP_LEFT_RIGHT
bin5particle302.bmp	87	ROTATE_180
bin5particle90.bmp	88	None
bin5particle79.bmp	89	ROTATE_180
bin5particle8.bmp	90	None
bin5BADparticle8.bmp	91	ROTATE_180
bin5BADparticle80.bmp	92	None
bin5BADparticle82.bmp	93	ROTATE_90
bin5particle286.bmp	94	None
bin5particle356.bmp	95	None
bin5BADparticle31.bmp	96	None
bin5BADparticle85.bmp	97	ROTATE_90
bin5particle119.bmp	98	None
bin5BADparticle28.bmp	99	ROTATE_90
51	49
